,open,high,low,close,volume,Year,Month,Weekday,Day,rsi,sma_50,sma_200,macd,volatility
2011-12-09,3.27,3.5,2.95,3.3,115.0,2011,12,4,9,54.29249272918123,3.1872000000000003,,-0.025903290209543073,0.5499999999999998
2011-12-11,3.2,3.2,3.0,3.2,12.0,2011,12,6,11,52.29188138982026,3.159,,-0.010954022226790538,0.20000000000000018
2011-12-12,3.17,3.37,3.17,3.27,157.0,2011,12,0,12,53.5813135972145,3.1445999999999996,,0.0064672449645599706,0.20000000000000018
2011-12-13,3.37,3.6,3.37,3.48,75.0,2011,12,1,13,57.30907199366961,3.1364,,0.03679482188126393,0.22999999999999998
2011-12-14,3.25,3.59,3.25,3.56,66.0,2011,12,2,14,58.67072992985232,3.1174,,0.066518196139294,0.33999999999999986
2011-12-15,3.42,3.49,3.42,3.47,90.0,2011,12,3,15,56.48787502205836,3.1047999999999996,,0.08186821077291562,0.07000000000000028
2011-12-16,3.39,3.45,3.39,3.45,102.0,2011,12,4,16,55.9893568128454,3.0952,,0.09136616285597565,0.06000000000000005
2011-12-17,3.25,3.5,3.25,3.44,84.0,2011,12,5,17,55.724551279167365,3.0846000000000005,,0.09696864767482971,0.25
2011-12-19,3.25,3.5,3.25,3.5,17.0,2011,12,0,19,57.03749792417718,3.0736000000000003,,0.1050393278300592,0.25
2011-12-20,3.5,3.98,3.5,3.85,134.0,2011,12,1,20,63.78409699405425,3.0722000000000005,,0.13808570883110738,0.48
2011-12-21,4.75,4.75,4.53,4.55,94.0,2011,12,2,21,72.93742668330019,3.1184000000000003,,0.21824357760593305,0.21999999999999975
2011-12-22,4.38,4.38,4.38,4.38,20.0,2011,12,3,22,68.41504739152364,3.1606,,0.26499696678728135,0.0
2011-12-23,4.19,4.19,4.17,4.17,8.0,2011,12,4,23,63.2018807696728,3.1856,,0.2818550698007338,0.020000000000000462
2011-12-24,3.86,4.35,3.84,4.22,149.0,2011,12,5,24,63.907072922344454,3.2156000000000002,,0.29583956566824465,0.5099999999999998
2011-12-25,4.33,4.33,4.33,4.33,27.0,2011,12,6,25,65.47464447040781,3.2484,,0.31219961723773926,0.0
2011-12-26,4.32,4.32,4.27,4.27,24.0,2011,12,0,26,63.84579549386952,3.2497999999999996,,0.3166731662766562,0.05000000000000071
2011-12-27,4.27,4.33,4.27,4.33,56.0,2011,12,1,27,64.78913716909328,3.2574,,0.32135559738946506,0.0600000000000005
2011-12-28,4.33,4.33,4.29,4.29,58.0,2011,12,2,28,63.59777028241868,3.2732,,0.31817111353323835,0.040000000000000036
2011-12-29,4.29,4.3,4.25,4.3,35.0,2011,12,3,29,63.77709957808172,3.2932,,0.3128479867110294,0.04999999999999982
2011-12-30,4.3,4.5,4.3,4.5,36.0,2011,12,4,30,67.25185788769765,3.3166,,0.3210666424860964,0.20000000000000018
2011-12-31,4.26,4.5,4.21,4.21,56.0,2011,12,5,31,58.490360006919886,3.3298,,0.3007129780080309,0.29000000000000004
2012-01-01,4.39,4.58,4.39,4.58,95.0,2012,1,6,1,64.79261846589554,3.3613999999999997,,0.3108551157758366,0.1900000000000004
2012-01-02,4.58,5.0,4.58,5.0,21.0,2012,1,0,2,70.30418165206974,3.4024,,0.3487630001719708,0.41999999999999993
2012-01-03,5.0,5.0,5.0,5.0,19.0,2012,1,1,3,70.30418165206974,3.4408,,0.3744884024746744,0.0
2012-01-04,5.32,5.32,5.14,5.29,88.0,2012,1,2,4,73.61216218022568,3.4806,,0.4135098612306427,0.1800000000000006
